Segment Length(ms),Accuracy,Type
50,0.5693380587630045,Raw
50,0.5472352425593536,Filtered
100,0.617104356481127,Raw
100,0.5700941734936069,Filtered
150,0.6217837775470174,Raw
150,0.5898234683281413,Filtered
200,0.6357032457496136,Raw
200,0.5939721792890262,Filtered
250,0.640139751552795,Raw
250,0.593555900621118,Filtered
300,0.6434925093632958,Raw
300,0.6137640449438202,Filtered
350,0.6424458459007404,Raw
350,0.5996709624348779,Filtered
400,0.6429246769618657,Raw
400,0.6107784431137725,Filtered
